% Measurement ID: 1660
% Mode ID: S
% Date and time: 2020-07-15 09:38:14
% Sample ID: SPT10-78-12
% Measurement type: spectrum
% Frequency [Hz]: 1449361.401605077
% Quality factor: 104882.8356056415
% Temperature [K]: 293.0
% Pressure [mBar]: 5.94e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
1449364.0, -106.9411
1449364.0, -107.3061
1449364.0, -107.8879
1449364.0, -108.0688
1449364.0, -108.0548
1449365.0, -108.2182
1449365.0, -108.5229
1449365.0, -108.969
1449365.0, -109.2757
1449365.0, -109.5364
1449365.0, -109.7018
1449365.0, -109.7884
1449366.0, -109.5993
1449366.0, -109.2002
1449366.0, -109.1748
1449366.0, -109.1828
1449366.0, -109.2242
1449366.0, -109.5
1449366.0, -109.9434
1449366.0, -110.23
1449367.0, -110.4678
1449367.0, -110.5691
1449367.0, -110.563
1449367.0, -110.4953
1449367.0, -110.3506
1449367.0, -111.0218
1449367.0, -111.5284
1449368.0, -111.8706
1449368.0, -111.9346
1449368.0, -111.7582
1449368.0, -111.7987
1449368.0, -111.9036
1449368.0, -112.4337
1449368.0, -113.2687
1449368.0, -113.6081
1449369.0, -113.7188
1449369.0, -113.7477
1449369.0, -113.7155
1449369.0, -113.6221
1449369.0, -113.7361
1449369.0, -113.9681
1449369.0, -114.5055
1449370.0, -115.2859
1449370.0, -115.5375
1449370.0, -115.5175
1449370.0, -115.5986
1449370.0, -115.6565
1449370.0, -116.0061
1449370.0, -115.958
1449370.0, -115.5122
1449371.0, -115.7383
1449371.0, -116.2798
1449371.0, -116.3483
1449371.0, -116.2067
1449371.0, -116.0733
1449371.0, -115.8753
1449371.0, -115.9694
1449372.0, -116.2369
1449372.0, -116.907
1449372.0, -117.0844
1449372.0, -116.7691
1449372.0, -116.8
1449372.0, -116.8976
1449372.0, -117.155
1449372.0, -117.5412
1449373.0, -117.5129
1449373.0, -117.2513
1449373.0, -117.3551
1449373.0, -117.6248
1449373.0, -117.8341
1449373.0, -118.0962
1449373.0, -118.411
1449374.0, -118.6378
1449374.0, -118.8235
1449374.0, -119.1359
1449374.0, -119.519
1449374.0, -119.5782
1449374.0, -119.4451
1449374.0, -119.7722
1449374.0, -120.342
1449375.0, -120.8992
1449375.0, -120.9561
1449375.0, -120.5125
1449375.0, -120.7345
1449375.0, -121.2336
1449375.0, -121.2526
1449375.0, -121.0441
1449376.0, -121.0871
1449376.0, -121.222
1449376.0, -121.2006
1449376.0, -121.1058
1449376.0, -120.9709
1449376.0, -121.0452
1449376.0, -121.3288
1449376.0, -121.4992
1449377.0, -121.6639
1449377.0, -121.6647
1449377.0, -121.5544
1449377.0, -121.3284
1449377.0, -120.9883
1449377.0, -120.723
1449377.0, -120.4694
1449378.0, -120.5928
1449378.0, -120.6637
1449378.0, -120.6819
1449378.0, -120.4325
1449378.0, -119.9871
1449378.0, -119.9441
1449378.0, -120.1039
1449378.0, -120.4071
1449379.0, -120.8736
1449379.0, -121.1512
1449379.0, -121.3573
1449379.0, -122.594
1449379.0, -123.2766
1449379.0, -123.4049
1449379.0, -123.6683
1449380.0, -123.8368
1449380.0, -123.9925
1449380.0, -124.1079
1449380.0, -123.9587
1449380.0, -123.6195
1449380.0, -123.2479
1449380.0, -122.7913
1449380.0, -122.7535
1449381.0, -122.6746
1449381.0, -122.5547
1449381.0, -122.4088
1449381.0, -122.2318
1449381.0, -122.3349
1449381.0, -122.6143
1449381.0, -122.9228
1449382.0, -123.3096
1449382.0, -123.3081
1449382.0, -123.0739
1449382.0, -123.8081
1449382.0, -124.3533
1449382.0, -124.7093
1449382.0, -125.0698
1449382.0, -125.3704
1449383.0, -125.3032
1449383.0, -124.9709
1449383.0, -124.5455
1449383.0, -123.9696
1449383.0, -123.4244
1449383.0, -123.3069
1449383.0, -123.6173
1449384.0, -123.72
1449384.0, -123.8267
1449384.0, -124.0358
1449384.0, -124.3145
1449384.0, -124.3762
1449384.0, -124.3164
1449384.0, -124.2132
1449384.0, -124.0406
1449385.0, -124.1847
1449385.0, -124.1214
1449385.0, -123.8506
1449385.0, -123.6296
1449385.0, -123.3726
1449385.0, -123.2958
1449385.0, -123.3271
1449386.0, -123.324
1449386.0, -123.334
1449386.0, -123.478
1449386.0, -123.7156
1449386.0, -123.8377
1449386.0, -123.8357
1449386.0, -123.7098
1449386.0, -123.7546
1449387.0, -123.8719
1449387.0, -123.9277
1449387.0, -123.9668
1449387.0, -123.8149
1449387.0, -123.5299
1449387.0, -123.408
1449387.0, -123.3503
1449388.0, -123.9488
1449388.0, -124.6411
1449388.0, -125.4273
1449388.0, -125.6868
1449388.0, -125.6264
1449388.0, -125.863
1449388.0, -126.191
1449388.0, -126.3535
1449389.0, -126.4363
1449389.0, -126.0787
1449389.0, -125.4008
1449389.0, -125.2326
1449389.0, -124.9787
1449389.0, -124.6391
1449389.0, -124.3493
1449390.0, -124.0642
1449390.0, -124.0249
1449390.0, -124.151
1449390.0, -124.0888
1449390.0, -123.9561
1449390.0, -124.2186
1449390.0, -124.7211
1449390.0, -125.5732
1449391.0, -126.4
1449391.0, -127.2016
1449391.0, -127.2979
1449391.0, -126.9156
1449391.0, -126.4351
1449391.0, -125.7297
1449391.0, -125.4392
1449392.0, -125.3504
1449392.0, -125.23
1449392.0, -125.1557
1449392.0, -125.2334
1449392.0, -125.4829
1449392.0, -125.9041
1449392.0, -126.6376
1449392.0, -127.6366
1449393.0, -127.8989
1449393.0, -127.7585
1449393.0, -127.825
1449393.0, -127.8952
1449393.0, -127.8097
1449393.0, -127.6217
1449393.0, -126.9941
1449394.0, -126.7239
1449394.0, -126.8113
1449394.0, -126.7949
1449394.0, -126.8285
1449394.0, -126.704
1449394.0, -126.4908
1449394.0, -126.4247
1449394.0, -126.4273
1449395.0, -126.5665
1449395.0, -126.8196
1449395.0, -126.6855
1449395.0, -126.6638
1449395.0, -126.7547
1449395.0, -127.272
1449395.0, -128.1111
1449396.0, -128.2989
1449396.0, -128.1598
1449396.0, -128.529
1449396.0, -129.128
1449396.0, -128.7809
1449396.0, -127.8798
1449396.0, -126.6951
1449396.0, -126.1445
1449397.0, -126.2281
1449397.0, -126.2274
1449397.0, -126.3819
1449397.0, -126.6204
1449397.0, -126.9666
1449397.0, -127.4583
1449397.0, -128.0828
1449398.0, -128.5229
1449398.0, -128.8844
1449398.0, -128.4558
1449398.0, -128.0744
1449398.0, -127.7401
1449398.0, -127.3003
1449398.0, -126.8058
1449398.0, -126.7223
1449399.0, -126.8946
1449399.0, -127.0614
1449399.0, -127.31
1449399.0, -127.4491
1449399.0, -127.5424
1449399.0, -127.5152
1449399.0, -127.3439
1449400.0, -127.0286
1449400.0, -126.954
1449400.0, -126.992
1449400.0, -127.0526
1449400.0, -127.1659
1449400.0, -127.4736
1449400.0, -127.9284
1449400.0, -128.6718
1449401.0, -129.1793
1449401.0, -129.4508
1449401.0, -129.4261
1449401.0, -129.1253
