% Measurement ID: 1726
% Mode ID: S
% Date and time: 2020-07-15 08:26:28
% Sample ID: SPT10-27
% Measurement type: spectrum
% Frequency [Hz]: 1404839.420081828
% Quality factor: 55568.35988572393
% Temperature [K]: 293.0
% Pressure [mBar]: 6.35e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
1404859.0, -114.8096
1404859.0, -114.7811
1404859.0, -114.8689
1404859.0, -114.9567
1404859.0, -115.0832
1404860.0, -115.2329
1404860.0, -115.4228
1404860.0, -115.653
1404860.0, -115.6736
1404860.0, -115.5679
1404860.0, -115.7539
1404860.0, -116.0921
1404861.0, -116.0997
1404861.0, -115.9375
1404861.0, -115.9338
1404861.0, -115.9792
1404861.0, -115.4974
1404861.0, -115.1941
1404861.0, -115.0693
1404861.0, -115.2084
1404862.0, -115.5829
1404862.0, -116.0618
1404862.0, -116.6887
1404862.0, -117.202
1404862.0, -117.6888
1404862.0, -117.8514
1404862.0, -117.7891
1404863.0, -117.6459
1404863.0, -117.3442
1404863.0, -116.8842
1404863.0, -116.6587
1404863.0, -116.5368
1404863.0, -116.5259
1404863.0, -116.6237
1404863.0, -116.8163
1404864.0, -117.1084
1404864.0, -117.3572
1404864.0, -117.6104
1404864.0, -118.1154
1404864.0, -118.1427
1404864.0, -117.6923
1404864.0, -117.4699
1404865.0, -117.2403
1404865.0, -117.07
1404865.0, -116.9369
1404865.0, -117.1042
1404865.0, -117.4842
1404865.0, -117.8882
1404865.0, -118.3792
1404865.0, -118.8897
1404866.0, -119.0966
1404866.0, -119.0001
1404866.0, -118.7658
1404866.0, -118.3384
1404866.0, -118.2388
1404866.0, -118.2934
1404866.0, -118.2655
1404867.0, -118.234
1404867.0, -118.0095
1404867.0, -117.6551
1404867.0, -117.4965
1404867.0, -117.4489
1404867.0, -117.5124
1404867.0, -117.5805
1404867.0, -117.6886
1404868.0, -117.9679
1404868.0, -118.3748
1404868.0, -118.5307
1404868.0, -118.5616
1404868.0, -118.4275
1404868.0, -118.4835
1404868.0, -118.7298
1404869.0, -118.9037
1404869.0, -119.0927
1404869.0, -119.1547
1404869.0, -119.1372
1404869.0, -119.1002
1404869.0, -119.0237
1404869.0, -119.0129
1404869.0, -119.0328
1404870.0, -119.1796
1404870.0, -119.2839
1404870.0, -119.3456
1404870.0, -119.4315
1404870.0, -119.5194
1404870.0, -119.5397
1404870.0, -119.5156
1404871.0, -119.5848
1404871.0, -119.7015
1404871.0, -119.7661
1404871.0, -119.8118
1404871.0, -119.6905
1404871.0, -119.6743
1404871.0, -119.7634
1404871.0, -119.6161
1404872.0, -119.3462
1404872.0, -119.004
1404872.0, -118.5725
1404872.0, -118.3677
1404872.0, -118.2843
1404872.0, -118.2795
1404872.0, -118.3676
1404873.0, -118.7711
1404873.0, -119.0205
1404873.0, -119.1156
1404873.0, -119.187
1404873.0, -119.1913
1404873.0, -119.1173
1404873.0, -118.9687
1404873.0, -118.8526
1404874.0, -118.7333
1404874.0, -118.8662
1404874.0, -119.1661
1404874.0, -119.2794
1404874.0, -119.4526
1404874.0, -119.6858
1404874.0, -119.8768
1404875.0, -120.0597
1404875.0, -120.0529
1404875.0, -119.9168
1404875.0, -119.5362
1404875.0, -118.9497
1404875.0, -118.9346
1404875.0, -119.2318
1404875.0, -119.4179
1404876.0, -119.6084
1404876.0, -119.8033
1404876.0, -119.7504
1404876.0, -119.5339
1404876.0, -119.6069
1404876.0, -119.8184
1404876.0, -120.1477
1404877.0, -120.6016
1404877.0, -120.5071
1404877.0, -120.0886
1404877.0, -119.7894
1404877.0, -119.7154
1404877.0, -119.8665
1404877.0, -120.0245
1404877.0, -120.2619
1404878.0, -120.3268
1404878.0, -120.3032
1404878.0, -120.3918
1404878.0, -120.5256
1404878.0, -120.5455
1404878.0, -120.5046
1404878.0, -120.553
1404879.0, -120.7064
1404879.0, -120.9646
1404879.0, -121.0428
1404879.0, -121.0359
1404879.0, -121.2748
1404879.0, -121.6492
1404879.0, -121.7055
1404879.0, -121.595
1404880.0, -121.4739
1404880.0, -121.2902
1404880.0, -120.8383
1404880.0, -120.7309
1404880.0, -120.9679
1404880.0, -121.0723
1404880.0, -121.2031
1404881.0, -121.1611
1404881.0, -121.0127
1404881.0, -121.0975
1404881.0, -121.3024
1404881.0, -121.2155
1404881.0, -120.9741
1404881.0, -121.035
1404881.0, -120.996
1404882.0, -120.8571
1404882.0, -120.7551
1404882.0, -120.6445
1404882.0, -120.5933
1404882.0, -120.579
1404882.0, -120.417
1404882.0, -120.169
1404883.0, -120.0826
1404883.0, -120.0754
1404883.0, -120.7202
1404883.0, -121.1245
1404883.0, -121.2885
1404883.0, -121.3173
1404883.0, -121.1758
1404883.0, -121.2689
1404884.0, -121.4616
1404884.0, -121.8182
1404884.0, -122.3173
1404884.0, -122.258
1404884.0, -121.8739
1404884.0, -121.6183
1404884.0, -121.4622
1404885.0, -121.4055
1404885.0, -121.3608
1404885.0, -121.3571
1404885.0, -121.371
1404885.0, -121.4101
1404885.0, -121.4239
1404885.0, -121.4291
1404885.0, -121.5959
1404886.0, -121.7494
1404886.0, -121.8895
1404886.0, -122.1693
1404886.0, -122.5378
1404886.0, -122.9133
1404886.0, -123.3231
1404886.0, -123.3436
1404887.0, -123.116
1404887.0, -123.3346
1404887.0, -123.7679
1404887.0, -123.0201
1404887.0, -122.5784
1404887.0, -122.4429
1404887.0, -122.5166
1404887.0, -122.8319
1404888.0, -122.7105
1404888.0, -122.3784
1404888.0, -122.3005
1404888.0, -122.3216
1404888.0, -122.3558
1404888.0, -122.4318
1404888.0, -123.123
1404889.0, -123.2681
1404889.0, -122.8673
1404889.0, -122.833
1404889.0, -122.8611
1404889.0, -122.9449
1404889.0, -123.0867
1404889.0, -123.3828
1404889.0, -123.801
1404890.0, -123.7308
1404890.0, -123.3758
1404890.0, -122.9143
1404890.0, -123.0594
1404890.0, -123.811
1404890.0, -123.7247
1404890.0, -123.2818
1404891.0, -123.0643
1404891.0, -122.8783
1404891.0, -123.009
1404891.0, -123.3614
1404891.0, -123.7202
1404891.0, -124.1572
1404891.0, -124.6251
1404891.0, -124.6586
1404892.0, -124.2578
1404892.0, -124.2878
1404892.0, -124.4602
1404892.0, -124.5361
1404892.0, -124.5951
1404892.0, -124.5688
1404892.0, -124.48
1404893.0, -124.0309
1404893.0, -123.3208
1404893.0, -122.5486
1404893.0, -122.2592
1404893.0, -122.4526
1404893.0, -122.4618
1404893.0, -122.5092
1404893.0, -122.4876
1404894.0, -122.4329
1404894.0, -122.3632
1404894.0, -122.2723
1404894.0, -122.3788
1404894.0, -122.6097
1404894.0, -123.095
1404894.0, -123.1848
1404895.0, -122.8793
1404895.0, -122.7764
1404895.0, -122.6768
1404895.0, -122.7263
1404895.0, -122.8765
1404895.0, -122.9427
1404895.0, -122.9865
1404895.0, -123.0827
1404896.0, -123.2063
1404896.0, -123.5977
1404896.0, -123.568
