% Measurement ID: 1617
% Mode ID: S
% Date and time: 2020-07-14 08:55:16
% Sample ID: SPT08-48-11
% Measurement type: spectrum
% Frequency [Hz]: 1431036.1747789662
% Quality factor: 62044.30632764199
% Temperature [K]: nan
% Pressure [mBar]: 1.18e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
1431036.0, -101.1793
1431036.0, -100.9654
1431036.0, -100.6669
1431036.0, -100.4132
1431036.0, -100.1612
1431036.0, -100.1145
1431037.0, -100.2053
1431037.0, -100.3673
1431037.0, -100.6225
1431037.0, -100.992
1431037.0, -101.4687
1431037.0, -101.7745
1431037.0, -102.0691
1431037.0, -102.3525
1431038.0, -102.6608
1431038.0, -102.9819
1431038.0, -103.0193
1431038.0, -102.8717
1431038.0, -102.4319
1431038.0, -101.7356
1431038.0, -101.3625
1431039.0, -101.1194
1431039.0, -100.8735
1431039.0, -100.8689
1431039.0, -101.1056
1431039.0, -101.3317
1431039.0, -101.6311
1431039.0, -101.6698
1431039.0, -101.5591
1431040.0, -101.5906
1431040.0, -101.6671
1431040.0, -101.7369
1431040.0, -101.8173
1431040.0, -102.2812
1431040.0, -102.2991
1431040.0, -101.8711
1431041.0, -101.8211
1431041.0, -101.8745
1431041.0, -101.9277
1431041.0, -102.0153
1431041.0, -102.2797
1431041.0, -102.6734
1431041.0, -103.2349
1431041.0, -103.9512
1431042.0, -103.1449
1431042.0, -102.8291
1431042.0, -103.0038
1431042.0, -102.8174
1431042.0, -102.5538
1431042.0, -102.5369
1431042.0, -102.6585
1431043.0, -102.8057
1431043.0, -103.0161
1431043.0, -103.1686
1431043.0, -103.3035
1431043.0, -103.8615
1431043.0, -104.2263
1431043.0, -104.3979
1431043.0, -104.6024
1431044.0, -104.7645
1431044.0, -104.9356
1431044.0, -105.0984
1431044.0, -105.2546
1431044.0, -105.4037
1431044.0, -105.7291
1431044.0, -106.1695
1431045.0, -106.3368
1431045.0, -106.545
1431045.0, -106.7942
1431045.0, -106.7699
1431045.0, -106.5769
1431045.0, -106.3793
1431045.0, -106.1223
1431045.0, -105.9913
1431046.0, -105.9247
1431046.0, -105.687
1431046.0, -105.3566
1431046.0, -105.4071
1431046.0, -105.4352
1431046.0, -105.4407
1431046.0, -105.6878
1431047.0, -106.0883
1431047.0, -106.3411
1431047.0, -106.5466
1431047.0, -106.4538
1431047.0, -106.1463
1431047.0, -105.8689
1431047.0, -105.54
1431047.0, -105.8725
1431048.0, -105.926
1431048.0, -105.7005
1431048.0, -105.9184
1431048.0, -106.3387
1431048.0, -106.7883
1431048.0, -107.3248
1431048.0, -107.5334
1431049.0, -107.5525
1431049.0, -107.447
1431049.0, -107.1952
1431049.0, -107.683
1431049.0, -107.7264
1431049.0, -107.3255
1431049.0, -107.4633
1431049.0, -107.8123
1431050.0, -107.9947
1431050.0, -108.1364
1431050.0, -108.2792
1431050.0, -108.4091
1431050.0, -108.7094
1431050.0, -108.8043
1431050.0, -108.6937
1431051.0, -108.6193
1431051.0, -108.5007
1431051.0, -108.6316
1431051.0, -108.914
1431051.0, -109.1623
1431051.0, -109.4384
1431051.0, -109.5378
1431051.0, -109.5288
1431052.0, -109.4376
1431052.0, -109.3386
1431052.0, -109.232
1431052.0, -109.0749
1431052.0, -108.8817
1431052.0, -108.8101
1431052.0, -108.8075
1431053.0, -109.0652
1431053.0, -109.5196
1431053.0, -109.4699
1431053.0, -109.1499
1431053.0, -109.6259
1431053.0, -109.6146
1431053.0, -109.1159
1431053.0, -109.2706
1431054.0, -109.6985
1431054.0, -109.7031
1431054.0, -109.5167
1431054.0, -109.7427
1431054.0, -110.18
1431054.0, -110.449
1431054.0, -110.6763
1431055.0, -110.1238
1431055.0, -110.0972
1431055.0, -110.5965
1431055.0, -110.81
1431055.0, -111.0081
1431055.0, -111.0919
1431055.0, -111.0943
