% Measurement ID: 3227
% Mode ID: 1
% Date and time: 2020-02-03 15:10:30
% Sample ID: PSE2-58-14
% Measurement type: spectrum
% Frequency [Hz]: 113540.01645150511
% Quality factor: -8600.395394455787
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
113660.0, -92.37145
113660.0, -92.23855
113661.0, -92.24458
113661.0, -92.25894
113661.0, -92.26588
113662.0, -92.26543
113662.0, -92.24968
113663.0, -92.35175
113663.0, -92.63224
113663.0, -92.39137
113664.0, -92.25711
113664.0, -92.22947
113665.0, -92.05942
113665.0, -91.98087
113665.0, -91.85706
113666.0, -91.77374
113666.0, -91.73091
113667.0, -91.66455
113667.0, -91.75668
113667.0, -91.97149
113668.0, -92.22586
113668.0, -92.36138
113669.0, -92.37803
113669.0, -92.20212
113669.0, -92.24807
113670.0, -92.38797
113670.0, -92.79524
113671.0, -93.07032
113671.0, -93.21321
113671.0, -93.38818
113672.0, -92.93433
113672.0, -92.50095
113673.0, -92.28002
113673.0, -92.27155
113673.0, -92.24178
113674.0, -92.39497
113674.0, -92.23686
113675.0, -92.30734
113675.0, -92.31507
113675.0, -92.26004
113676.0, -92.47611
113676.0, -92.72025
113677.0, -92.74934
113677.0, -92.78392
113677.0, -92.82398
113678.0, -93.02431
113678.0, -93.11521
113679.0, -93.00231
113679.0, -93.16446
113679.0, -93.15877
113680.0, -92.98524
113680.0, -92.90049
113681.0, -93.0218
113681.0, -92.97756
113681.0, -93.02738
113682.0, -93.17126
113682.0, -93.30479
113683.0, -93.52864
