% Measurement ID: 3157
% Mode ID: 1
% Date and time: 2020-02-03 17:37:14
% Sample ID: PSE2-68
% Measurement type: spectrum
% Frequency [Hz]: 37866.91253589905
% Quality factor: 5833.688551602869
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
37871.88, -71.82996
37871.88, -71.97478
37872.88, -72.14016
37872.88, -72.30633
37872.88, -72.47988
37872.88, -72.81573
37872.88, -73.26225
37872.88, -74.18039
37872.88, -74.676
37873.88, -74.74909
37873.88, -74.90584
37873.88, -74.97752
37873.88, -75.21978
37873.88, -75.5474
37873.88, -75.55329
37873.88, -75.37314
37873.88, -75.1713
37874.88, -74.893
37874.88, -75.89324
37874.88, -76.27128
37874.88, -76.0271
37874.88, -76.18933
37874.88, -76.41509
37874.88, -76.46034
37875.88, -76.40644
37875.88, -76.49214
37875.88, -76.63784
37875.88, -76.93301
37875.88, -77.34782
37875.88, -77.64151
37875.88, -77.91852
37875.88, -78.17885
37876.88, -78.13049
37876.88, -77.87078
37876.88, -77.70096
37876.88, -77.52062
37876.88, -77.54464
37876.88, -77.7014
37876.88, -77.71103
37877.88, -77.66683
37877.88, -77.44272
37877.88, -77.40639
37877.88, -77.55783
37877.88, -77.67621
37877.88, -77.83514
37877.88, -77.9778
37877.88, -78.12312
37878.88, -78.30191
37878.88, -78.50392
37878.88, -78.48013
37878.88, -78.31355
37878.88, -78.8662
37878.88, -78.88405
37878.88, -78.36709
37879.88, -78.45986
37879.88, -78.78084
37879.88, -78.69156
37879.88, -78.40486
37879.88, -78.27513
37879.88, -78.18424
37879.88, -78.1326
37879.88, -78.12009
37880.88, -78.63542
37880.88, -78.99345
37880.88, -79.19419
37880.88, -79.49814
37880.88, -79.81846
37880.88, -80.14356
37880.88, -80.47731
37881.88, -80.47651
37881.88, -80.25556
37881.88, -80.1832
37881.88, -80.13652
37881.88, -80.55599
37881.88, -80.70057
37881.88, -80.57025
37881.88, -80.67042
37882.88, -80.83263
37882.88, -80.88439
37882.88, -80.8832
37882.88, -81.07001
37882.88, -81.36452
37882.88, -81.38006
37882.88, -81.24553
37883.88, -81.46139
37883.88, -81.53405
37883.88, -81.46352
37883.88, -81.35727
37883.88, -81.17948
37883.88, -81.0621
37883.88, -80.96115
37883.88, -81.02931
37884.88, -81.21568
37884.88, -81.53566
37884.88, -81.98413
37884.88, -81.91594
37884.88, -82.03214
